feature,importance_mean,importance_std
V15,0.005246136862173056,1.3749093468452293e-05
Amount,0.004812215755745153,0.0015283778870675614
V20,0.0048088421496904395,0.0015268667311932145
V26,0.0032701817009865184,0.0024864156264957082
V21,0.0032358803819783287,0.002479568846431302
V4,0.0030281793007016834,0.002547700380443107
V3,0.001302086324118845,0.002040375395358027
V14,0.0008175162650879031,0.003957572206638333
V17,0.000765225371240219,4.907546114008892e-05
V9,0.0007351769492264792,0.0015280849267230007
V23,0.0006573238116293178,0.0015204805372082055
V19,0.0006193527988010095,0.0027418578654649635
V1,0.0005629166762371685,1.4509243766233994e-05
V10,0.0005562950771191733,0.003203537066953959
V7,0.00038534476818301576,3.961908183034613e-05
V2,0.00032292408381474625,1.2860955316703152e-05
V8,0.0002907492133037537,1.2723627265736494e-05
V16,0.00026935911533997324,1.6874064058583126e-05
V6,0.00026799531714770674,0.0023023624832231447
V11,0.0002599381409851831,7.131219091066442e-05
V25,0.0001468326145877552,6.434906296254451e-06
V18,-0.0007533459711966062,0.0020397896914231073
V28,-0.0013730128024761145,0.0023259198972264
V24,-0.001961976229715301,0.002540771880205231
V12,-0.0024964505357573997,0.0033832034482206676
V5,-0.0028200116568856347,0.002485613620354641
V22,-0.0028987620301356596,0.0033632487327952165
V13,-0.002945597731214089,0.0024902169209150577
V27,-0.00394369164379319,0.0020320795555866245
